,0
0,999.2102770124163
1,563.7616271972656
2,148.1546983718872
3,43.02360820770264
4,23.054590736116683
5,20.507296528135026
6,19.322897570473806
7,18.528520720345632
8,17.770242725099838
9,16.95590421131679
10,16.660374181611196
11,16.114328503608704
12,15.674547110285078
13,15.39253398350307
14,14.755301586219243
15,14.676038265228271
16,14.413781898362297
17,13.8226238318852
18,13.578715418066297
19,13.20588880777359
20,13.195657048906599
21,12.76465139218739
22,12.824550424303327
23,12.306328688349042
24,12.170859379427773
25,12.01531847034182
26,11.948453392301287
27,11.621003031730652
28,11.372434799160276
29,11.5671934229987
30,11.09035477255072
31,11.09082305431366
32,11.11976782232523
33,10.81800641332354
34,10.822075205189842
35,10.505549711840493
36,10.498372005564827
37,10.46211337191718
38,10.350225406033653
39,10.255395361355372
40,10.311404611383166
41,10.159238065992083
42,10.045627278941017
43,9.958191922732762
44,9.885420058454786
45,9.869344251496452
46,9.624039217829704
47,9.562843386616025
48,9.468280258189354
49,9.626695564814977
50,9.311291938647628
51,9.297872594424657
52,9.310984711561884
53,9.052418479962009
54,9.06723837341581
55,9.081670314073563
56,8.822398432663508
57,8.77197145989963
58,8.827990527663912
59,8.726418418543679
60,8.474821771894183
61,8.286848289625985
62,8.156043474163328
63,8.167144745588303
64,7.897335861410413
65,7.760595951761518
66,7.664074191025326
67,7.470154817615237
68,7.359292780714376
69,7.193685195275715
70,7.056993884699685
71,6.929221438510077
72,6.59182278492621
73,6.444076020536678
74,6.432939571993692
75,6.051244923046657
76,5.794361134192774
77,5.6307903208902905
78,5.465465400900159
79,5.228744574955532
80,4.969840475491115
81,4.725315162113735
82,4.516628297311919
83,4.265241469655718
84,3.9822854910578047
85,3.758976753268923
86,3.5205672596182143
87,3.2642569073608945
88,3.100771733692714
89,2.8141533817563738
90,2.6317300658140863
91,2.400944098830223
92,2.2227686792612076
93,2.012917991195406
94,1.83251391351223
95,1.6753533056804113
96,1.5405115192489964
97,1.3822665203894888
98,1.2584752147751195
99,1.1551402317626136
